상품ID,상품명,가격,원가,카테고리,평점,리뷰 수,특별할인,판매자명,판매자 이메일,수집 시간
1,여성 여름 원피스,113000,,fashion,4.7,120,false,김수현,genstore_0001@genstore.com,2026-02-04T06:16:52.805Z
2,남성 캐주얼 셔츠,112000,,fashion,4.5,98,true,이민준,genstore_0002@genstore.com,2026-02-04T06:16:52.805Z
13,여성 린넨 블라우스,128000,,fashion,4.7,105,false,박지영,genstore_0013@genstore.com,2026-02-04T06:16:52.805Z
14,남성 슬랙스,1000,,fashion,4.5,95,true,최성민,genstore_0014@genstore.com,2026-02-04T06:16:52.805Z
23,여성 봄 트렌치코트,113000,,fashion,4.7,105,true,정하은,genstore_0023@genstore.com,2026-02-04T06:16:52.805Z
24,남성 데님 팬츠,1000,,fashion,4.5,95,false,강도윤,genstore_0024@genstore.com,2026-02-04T06:16:52.805Z
33,여성 가을 니트,26000,,fashion,4.8,88,false,윤서연,genstore_0033@genstore.com,2026-02-04T06:16:52.805Z
34,남성 겨울 패딩,47000,,fashion,4.6,77,true,임재현,genstore_0034@genstore.com,2026-02-04T06:16:52.805Z
35,여성 오피스 정장,174000,,fashion,4.7,66,false,송미라,genstore_0035@genstore.com,2026-02-04T06:16:52.805Z
36,남성 반팔 티셔츠,23000,,fashion,4.5,120,false,한승우,genstore_0036@genstore.com,2026-02-04T06:16:52.805Z
37,여성 플리츠 스커트,118000,,fashion,4.8,99,true,오다영,genstore_0037@genstore.com,2026-02-04T06:16:52.805Z
38,남성 후드 집업,39000,,fashion,4.6,110,false,신태영,genstore_0038@genstore.com,2026-02-04T06:16:52.805Z
39,여성 봄 가디건,38000,,fashion,4.7,80,true,류현진,genstore_0039@genstore.com,2026-02-04T06:16:52.805Z
40,남성 트레이닝 팬츠,99000,,fashion,4.5,90,false,홍길동,genstore_0040@genstore.com,2026-02-04T06:16:52.805Z
41,여성 겨울 코트,157000,,fashion,4.8,70,true,김영희,genstore_0041@genstore.com,2026-02-04T06:16:52.805Z
42,남성 니트 스웨터,1000,,fashion,4.6,85,false,김수현,genstore_0042@genstore.com,2026-02-04T06:16:52.805Z
3,스마트 워치 S2,241000,,digital,4.6,210,true,이민준,genstore_0003@genstore.com,2026-02-04T06:16:52.805Z
4,무선 블루투스 이어폰,51000,,digital,4.4,89,false,박지영,genstore_0004@genstore.com,2026-02-04T06:16:52.805Z
15,프리미엄 노트북,1347000,,digital,4.8,156,true,최성민,genstore_0015@genstore.com,2026-02-04T06:16:52.805Z
16,게이밍 마우스,222000,,digital,4.7,67,false,정하은,genstore_0016@genstore.com,2026-02-04T06:16:52.805Z
25,프리미엄 태블릿,980000,,digital,4.8,156,false,강도윤,genstore_0025@genstore.com,2026-02-04T06:16:52.805Z
26,게이밍 키보드,134000,,digital,4.7,67,true,윤서연,genstore_0026@genstore.com,2026-02-04T06:16:52.805Z
43,스마트폰 충전기,1000,,digital,4.5,120,false,임재현,genstore_0043@genstore.com,2026-02-04T06:16:52.805Z
44,블루투스 스피커,155000,,digital,4.6,99,true,송미라,genstore_0044@genstore.com,2026-02-04T06:16:52.805Z
45,프리미엄 모니터,403000,,digital,4.8,88,false,한승우,genstore_0045@genstore.com,2026-02-04T06:16:52.805Z
46,무선 마우스,120000,,digital,4.5,77,false,오다영,genstore_0046@genstore.com,2026-02-04T06:16:52.805Z
47,프리미엄 헤드폰,68000,,digital,4.7,66,true,신태영,genstore_0047@genstore.com,2026-02-04T06:16:52.805Z
48,스마트 홈 허브,103000,,digital,4.6,120,false,류현진,genstore_0048@genstore.com,2026-02-04T06:16:52.805Z
49,프리미엄 SSD,111000,,digital,4.8,99,true,홍길동,genstore_0049@genstore.com,2026-02-04T06:16:52.805Z
50,게이밍 헤드셋,71000,,digital,4.6,110,false,김영희,genstore_0050@genstore.com,2026-02-04T06:16:52.805Z
51,프리미엄 프린터,301000,,digital,4.7,80,true,김수현,genstore_0051@genstore.com,2026-02-04T06:16:52.805Z
52,스마트 체중계,80000,,digital,4.5,90,false,이민준,genstore_0052@genstore.com,2026-02-04T06:16:52.805Z
53,프리미엄 웹캠,77000,,digital,4.8,70,true,박지영,genstore_0053@genstore.com,2026-02-04T06:16:52.805Z
54,스마트 플러그,1000,,digital,4.6,85,false,최성민,genstore_0054@genstore.com,2026-02-04T06:16:52.805Z
5,유기농 사과 5kg,89000,,food,4.8,150,true,정하은,genstore_0005@genstore.com,2026-02-04T06:16:52.805Z
6,프리미엄 견과세트,1000,,food,4.7,110,false,강도윤,genstore_0006@genstore.com,2026-02-04T06:16:52.805Z
17,유기농 바나나 1kg,1000,,food,4.6,80,false,윤서연,genstore_0017@genstore.com,2026-02-04T06:16:52.805Z
18,프리미엄 오메가3,108000,,food,4.7,110,true,임재현,genstore_0018@genstore.com,2026-02-04T06:16:52.805Z
27,유기농 오렌지 2kg,30900,,food,4.6,80,true,송미라,genstore_0027@genstore.com,2026-02-04T06:16:52.805Z
28,프리미엄 비타민C,83000,,food,4.7,110,false,한승우,genstore_0028@genstore.com,2026-02-04T06:16:52.805Z
55,유기농 블루베리 1kg,36900,,food,4.8,90,true,오다영,genstore_0055@genstore.com,2026-02-04T06:16:52.805Z
56,프리미엄 홍삼정,39000,,food,4.7,100,false,신태영,genstore_0056@genstore.com,2026-02-04T06:16:52.805Z
57,유기농 감자 3kg,88000,,food,4.6,70,false,류현진,genstore_0057@genstore.com,2026-02-04T06:16:52.805Z
58,프리미엄 프로폴리스,1000,,food,4.7,80,true,홍길동,genstore_0058@genstore.com,2026-02-04T06:16:52.805Z
59,유기농 토마토 2kg,1000,,food,4.8,60,false,김영희,genstore_0059@genstore.com,2026-02-04T06:16:52.805Z
60,프리미엄 루테인,95000,,food,4.7,90,true,김수현,genstore_0060@genstore.com,2026-02-04T06:16:52.805Z
61,유기농 당근 2kg,1000,,food,4.6,50,false,이민준,genstore_0061@genstore.com,2026-02-04T06:16:52.805Z
62,프리미엄 칼슘,1000,,food,4.7,60,false,박지영,genstore_0062@genstore.com,2026-02-04T06:16:52.805Z
7,친환경 주방세제 1L,1000,,living,4.5,60,false,최성민,genstore_0007@genstore.com,2026-02-04T06:16:52.805Z
8,프리미엄 베개,14000,,living,4.6,80,true,정하은,genstore_0008@genstore.com,2026-02-04T06:16:52.805Z
19,프리미엄 이불세트,147000,,living,4.6,80,false,강도윤,genstore_0019@genstore.com,2026-02-04T06:16:52.805Z
29,프리미엄 쿠션,1000,,living,4.6,80,true,윤서연,genstore_0029@genstore.com,2026-02-04T06:16:52.805Z
63,프리미엄 러그,1000,,living,4.7,70,false,임재현,genstore_0063@genstore.com,2026-02-04T06:16:52.805Z
64,프리미엄 커튼,116000,,living,4.6,60,true,송미라,genstore_0064@genstore.com,2026-02-04T06:16:52.805Z
65,프리미엄 식탁보,1000,,living,4.7,50,false,한승우,genstore_0065@genstore.com,2026-02-04T06:16:52.805Z
66,프리미엄 수건세트,1000,,living,4.8,40,true,오다영,genstore_0066@genstore.com,2026-02-04T06:16:52.805Z
67,프리미엄 욕실화,1000,,living,4.6,30,false,신태영,genstore_0067@genstore.com,2026-02-04T06:16:52.805Z
68,프리미엄 주방장갑,47000,,living,4.7,20,false,류현진,genstore_0068@genstore.com,2026-02-04T06:16:52.805Z
69,프리미엄 도마,34000,,living,4.8,10,true,홍길동,genstore_0069@genstore.com,2026-02-04T06:16:52.805Z
70,프리미엄 세탁바구니,95000,,living,4.6,15,false,김영희,genstore_0070@genstore.com,2026-02-04T06:16:52.805Z
9,베스트셀러 소설집,89000,,books,4.9,200,false,김수현,genstore_0009@genstore.com,2026-02-04T06:16:52.805Z
10,영어 회화책,28000,,books,4.7,130,true,이민준,genstore_0010@genstore.com,2026-02-04T06:16:52.805Z
20,베스트셀러 에세이집,94000,,books,4.9,200,true,박지영,genstore_0020@genstore.com,2026-02-04T06:16:52.805Z
30,베스트셀러 자기계발서,89000,,books,4.9,200,false,최성민,genstore_0030@genstore.com,2026-02-04T06:16:52.805Z
71,베스트셀러 만화책,1000,,books,4.8,150,true,정하은,genstore_0071@genstore.com,2026-02-04T06:16:52.805Z
72,영어 단어장,78000,,books,4.7,120,false,강도윤,genstore_0072@genstore.com,2026-02-04T06:16:52.805Z
73,베스트셀러 시집,1000,,books,4.9,110,true,윤서연,genstore_0073@genstore.com,2026-02-04T06:16:52.805Z
74,프리미엄 미술책,1000,,books,4.8,100,false,임재현,genstore_0074@genstore.com,2026-02-04T06:16:52.805Z
75,프리미엄 요리책,3000,,books,4.7,90,true,송미라,genstore_0075@genstore.com,2026-02-04T06:16:52.805Z
76,프리미엄 여행책,92000,,books,4.8,80,false,한승우,genstore_0076@genstore.com,2026-02-04T06:16:52.805Z
