상품ID,상품명,가격,원가,카테고리,평점,리뷰 수,특별할인,판매자명,판매자 이메일,수집 시간
1,여성 여름 원피스,49000,,fashion,4.7,120,false,김수현,genstore_0001@genstore.com,2026-02-04T06:53:01.029Z
2,남성 캐주얼 셔츠,5000,,fashion,4.5,98,true,이민준,genstore_0002@genstore.com,2026-02-04T06:53:01.029Z
13,여성 린넨 블라우스,27000,,fashion,4.7,105,false,박지영,genstore_0013@genstore.com,2026-02-04T06:53:01.029Z
14,남성 슬랙스,1000,,fashion,4.5,95,true,최성민,genstore_0014@genstore.com,2026-02-04T06:53:01.029Z
23,여성 봄 트렌치코트,97000,,fashion,4.7,105,true,정하은,genstore_0023@genstore.com,2026-02-04T06:53:01.029Z
24,남성 데님 팬츠,45000,,fashion,4.5,95,false,강도윤,genstore_0024@genstore.com,2026-02-04T06:53:01.029Z
33,여성 가을 니트,67000,,fashion,4.8,88,false,윤서연,genstore_0033@genstore.com,2026-02-04T06:53:01.029Z
34,남성 겨울 패딩,187000,,fashion,4.6,77,true,임재현,genstore_0034@genstore.com,2026-02-04T06:53:01.029Z
35,여성 오피스 정장,28000,,fashion,4.7,66,false,송미라,genstore_0035@genstore.com,2026-02-04T06:53:01.029Z
36,남성 반팔 티셔츠,108000,,fashion,4.5,120,false,한승우,genstore_0036@genstore.com,2026-02-04T06:53:01.029Z
37,여성 플리츠 스커트,116000,,fashion,4.8,99,true,오다영,genstore_0037@genstore.com,2026-02-04T06:53:01.029Z
38,남성 후드 집업,102000,,fashion,4.6,110,false,신태영,genstore_0038@genstore.com,2026-02-04T06:53:01.029Z
39,여성 봄 가디건,36000,,fashion,4.7,80,true,류현진,genstore_0039@genstore.com,2026-02-04T06:53:01.029Z
40,남성 트레이닝 팬츠,4000,,fashion,4.5,90,false,홍길동,genstore_0040@genstore.com,2026-02-04T06:53:01.029Z
41,여성 겨울 코트,142000,,fashion,4.8,70,true,김영희,genstore_0041@genstore.com,2026-02-04T06:53:01.029Z
42,남성 니트 스웨터,36000,,fashion,4.6,85,false,김수현,genstore_0042@genstore.com,2026-02-04T06:53:01.029Z
3,스마트 워치 S2,272000,,digital,4.6,210,true,이민준,genstore_0003@genstore.com,2026-02-04T06:53:01.029Z
4,무선 블루투스 이어폰,84000,,digital,4.4,89,false,박지영,genstore_0004@genstore.com,2026-02-04T06:53:01.029Z
15,프리미엄 노트북,1329000,,digital,4.8,156,true,최성민,genstore_0015@genstore.com,2026-02-04T06:53:01.029Z
16,게이밍 마우스,192000,,digital,4.7,67,false,정하은,genstore_0016@genstore.com,2026-02-04T06:53:01.029Z
25,프리미엄 태블릿,950000,,digital,4.8,156,false,강도윤,genstore_0025@genstore.com,2026-02-04T06:53:01.029Z
26,게이밍 키보드,221000,,digital,4.7,67,true,윤서연,genstore_0026@genstore.com,2026-02-04T06:53:01.029Z
43,스마트폰 충전기,24000,,digital,4.5,120,false,임재현,genstore_0043@genstore.com,2026-02-04T06:53:01.029Z
44,블루투스 스피커,10000,,digital,4.6,99,true,송미라,genstore_0044@genstore.com,2026-02-04T06:53:01.029Z
45,프리미엄 모니터,310000,,digital,4.8,88,false,한승우,genstore_0045@genstore.com,2026-02-04T06:53:01.029Z
46,무선 마우스,1000,,digital,4.5,77,false,오다영,genstore_0046@genstore.com,2026-02-04T06:53:01.029Z
47,프리미엄 헤드폰,210000,,digital,4.7,66,true,신태영,genstore_0047@genstore.com,2026-02-04T06:53:01.029Z
48,스마트 홈 허브,15000,,digital,4.6,120,false,류현진,genstore_0048@genstore.com,2026-02-04T06:53:01.029Z
49,프리미엄 SSD,201000,,digital,4.8,99,true,홍길동,genstore_0049@genstore.com,2026-02-04T06:53:01.029Z
50,게이밍 헤드셋,9000,,digital,4.6,110,false,김영희,genstore_0050@genstore.com,2026-02-04T06:53:01.029Z
51,프리미엄 프린터,417000,,digital,4.7,80,true,김수현,genstore_0051@genstore.com,2026-02-04T06:53:01.029Z
52,스마트 체중계,23000,,digital,4.5,90,false,이민준,genstore_0052@genstore.com,2026-02-04T06:53:01.029Z
53,프리미엄 웹캠,1000,,digital,4.8,70,true,박지영,genstore_0053@genstore.com,2026-02-04T06:53:01.029Z
54,스마트 플러그,28000,,digital,4.6,85,false,최성민,genstore_0054@genstore.com,2026-02-04T06:53:01.029Z
5,유기농 사과 5kg,1000,,food,4.8,150,true,정하은,genstore_0005@genstore.com,2026-02-04T06:53:01.029Z
6,프리미엄 견과세트,32000,,food,4.7,110,false,강도윤,genstore_0006@genstore.com,2026-02-04T06:53:01.029Z
17,유기농 바나나 1kg,1000,,food,4.6,80,false,윤서연,genstore_0017@genstore.com,2026-02-04T06:53:01.029Z
18,프리미엄 오메가3,1000,,food,4.7,110,true,임재현,genstore_0018@genstore.com,2026-02-04T06:53:01.029Z
27,유기농 오렌지 2kg,29900,,food,4.6,80,true,송미라,genstore_0027@genstore.com,2026-02-04T06:53:01.029Z
28,프리미엄 비타민C,1000,,food,4.7,110,false,한승우,genstore_0028@genstore.com,2026-02-04T06:53:01.029Z
55,유기농 블루베리 1kg,1000,,food,4.8,90,true,오다영,genstore_0055@genstore.com,2026-02-04T06:53:01.029Z
56,프리미엄 홍삼정,119000,,food,4.7,100,false,신태영,genstore_0056@genstore.com,2026-02-04T06:53:01.029Z
57,유기농 감자 3kg,1000,,food,4.6,70,false,류현진,genstore_0057@genstore.com,2026-02-04T06:53:01.029Z
58,프리미엄 프로폴리스,1000,,food,4.7,80,true,홍길동,genstore_0058@genstore.com,2026-02-04T06:53:01.029Z
59,유기농 토마토 2kg,1000,,food,4.8,60,false,김영희,genstore_0059@genstore.com,2026-02-04T06:53:01.029Z
60,프리미엄 루테인,52000,,food,4.7,90,true,김수현,genstore_0060@genstore.com,2026-02-04T06:53:01.029Z
61,유기농 당근 2kg,95000,,food,4.6,50,false,이민준,genstore_0061@genstore.com,2026-02-04T06:53:01.029Z
62,프리미엄 칼슘,1000,,food,4.7,60,false,박지영,genstore_0062@genstore.com,2026-02-04T06:53:01.029Z
7,친환경 주방세제 1L,48900,,living,4.5,60,false,최성민,genstore_0007@genstore.com,2026-02-04T06:53:01.029Z
8,프리미엄 베개,63000,,living,4.6,80,true,정하은,genstore_0008@genstore.com,2026-02-04T06:53:01.029Z
19,프리미엄 이불세트,150000,,living,4.6,80,false,강도윤,genstore_0019@genstore.com,2026-02-04T06:53:01.029Z
29,프리미엄 쿠션,1000,,living,4.6,80,true,윤서연,genstore_0029@genstore.com,2026-02-04T06:53:01.029Z
63,프리미엄 러그,100000,,living,4.7,70,false,임재현,genstore_0063@genstore.com,2026-02-04T06:53:01.029Z
64,프리미엄 커튼,40000,,living,4.6,60,true,송미라,genstore_0064@genstore.com,2026-02-04T06:53:01.029Z
65,프리미엄 식탁보,15000,,living,4.7,50,false,한승우,genstore_0065@genstore.com,2026-02-04T06:53:01.029Z
66,프리미엄 수건세트,12000,,living,4.8,40,true,오다영,genstore_0066@genstore.com,2026-02-04T06:53:01.029Z
67,프리미엄 욕실화,1000,,living,4.6,30,false,신태영,genstore_0067@genstore.com,2026-02-04T06:53:01.029Z
68,프리미엄 주방장갑,1000,,living,4.7,20,false,류현진,genstore_0068@genstore.com,2026-02-04T06:53:01.029Z
69,프리미엄 도마,1000,,living,4.8,10,true,홍길동,genstore_0069@genstore.com,2026-02-04T06:53:01.029Z
70,프리미엄 세탁바구니,2000,,living,4.6,15,false,김영희,genstore_0070@genstore.com,2026-02-04T06:53:01.029Z
9,베스트셀러 소설집,49000,,books,4.9,200,false,김수현,genstore_0009@genstore.com,2026-02-04T06:53:01.029Z
10,영어 회화책,1000,,books,4.7,130,true,이민준,genstore_0010@genstore.com,2026-02-04T06:53:01.029Z
20,베스트셀러 에세이집,24000,,books,4.9,200,true,박지영,genstore_0020@genstore.com,2026-02-04T06:53:01.029Z
30,베스트셀러 자기계발서,1000,,books,4.9,200,false,최성민,genstore_0030@genstore.com,2026-02-04T06:53:01.029Z
71,베스트셀러 만화책,1000,,books,4.8,150,true,정하은,genstore_0071@genstore.com,2026-02-04T06:53:01.029Z
72,영어 단어장,104000,,books,4.7,120,false,강도윤,genstore_0072@genstore.com,2026-02-04T06:53:01.029Z
73,베스트셀러 시집,71000,,books,4.9,110,true,윤서연,genstore_0073@genstore.com,2026-02-04T06:53:01.029Z
74,프리미엄 미술책,1000,,books,4.8,100,false,임재현,genstore_0074@genstore.com,2026-02-04T06:53:01.029Z
75,프리미엄 요리책,13000,,books,4.7,90,true,송미라,genstore_0075@genstore.com,2026-02-04T06:53:01.029Z
76,프리미엄 여행책,1000,,books,4.8,80,false,한승우,genstore_0076@genstore.com,2026-02-04T06:53:01.029Z
77,프리미엄 자기계발서,1000,,books,4.7,70,true,오다영,genstore_0077@genstore.com,2026-02-04T06:53:01.029Z
78,프리미엄 과학책,21000,,books,4.8,60,false,신태영,genstore_0078@genstore.com,2026-02-04T06:53:01.029Z
79,프리미엄 역사책,45000,,books,4.7,50,true,류현진,genstore_0079@genstore.com,2026-02-04T06:53:01.029Z
11,러닝화 남성용,128000,,sports,4.8,140,true,홍길동,genstore_0011@genstore.com,2026-02-04T06:53:01.029Z
12,요가매트 프리미엄,91000,,sports,4.6,90,false,김영희,genstore_0012@genstore.com,2026-02-04T06:53:01.029Z
21,농구공 프리미엄,119000,,sports,4.8,140,false,김수현,genstore_0021@genstore.com,2026-02-04T06:53:01.029Z
22,등산용 배낭 30L,132000,,sports,4.6,90,true,이민준,genstore_0022@genstore.com,2026-02-04T06:53:01.030Z
31,배드민턴 라켓 세트,1000,,sports,4.8,140,true,박지영,genstore_0031@genstore.com,2026-02-04T06:53:01.030Z
32,캠핑용 텐트 4인용,95000,,sports,4.6,90,false,최성민,genstore_0032@genstore.com,2026-02-04T06:53:01.030Z
80,프리미엄 축구공,61000,,sports,4.8,120,true,정하은,genstore_0080@genstore.com,2026-02-04T06:53:01.030Z
81,프리미엄 탁구채,86000,,sports,4.7,110,false,강도윤,genstore_0081@genstore.com,2026-02-04T06:53:01.030Z
82,프리미엄 골프공,18000,,sports,4.6,100,true,윤서연,genstore_0082@genstore.com,2026-02-04T06:53:01.030Z
83,프리미엄 테니스라켓,13000,,sports,4.8,90,false,임재현,genstore_0083@genstore.com,2026-02-04T06:53:01.030Z
84,프리미엄 배구공,1000,,sports,4.7,80,true,송미라,genstore_0084@genstore.com,2026-02-04T06:53:01.030Z
85,프리미엄 헬스장갑,31000,,sports,4.6,70,false,한승우,genstore_0085@genstore.com,2026-02-04T06:53:01.030Z
86,프리미엄 스쿼트밴드,11000,,sports,4.7,60,false,오다영,genstore_0086@genstore.com,2026-02-04T06:53:01.030Z
87,프리미엄 줄넘기,1000,,sports,4.8,50,true,신태영,genstore_0087@genstore.com,2026-02-04T06:53:01.030Z
88,여성 스킨케어 세트,65000,,fashion,4.8,115,true,김지현,genstore_0088@genstore.com,2026-02-04T06:53:01.030Z
89,남성 정장 벨트,117000,,fashion,4.6,95,false,이성훈,genstore_0089@genstore.com,2026-02-04T06:53:01.030Z
90,여성 에센스 크림,24000,,fashion,4.7,128,true,박수진,genstore_0090@genstore.com,2026-02-04T06:53:01.030Z
91,남성 카시미어 스카프,1000,,fashion,4.5,82,false,최민수,genstore_0091@genstore.com,2026-02-04T06:53:01.030Z
92,여성 립스틱 세트,29000,,fashion,4.6,156,true,정은혜,genstore_0092@genstore.com,2026-02-04T06:53:01.030Z
93,남성 양말 5쌍세트,1000,,fashion,4.4,67,false,강태현,genstore_0093@genstore.com,2026-02-04T06:53:01.030Z
